Name;District;Municipality;Township;Line
Porto Campanha;Porto;Porto;Porto;Linha do Norte
Viana do Castelo;Viana do Castelo;Viana do Castelo;Viana do Castelo;Linha do Minho
Ermidas-Sado;Setubal;Santiago do Cacem;Ermidas-Sado;Linha do Sul
Faro;Faro;Faro;Faro;Linha do Algarve
Funcheira;Beja;Ourique;Funcheira;Linha do Sul
Lisboa Oriente;Lisboa;Lisboa;Parque das Nacoes;Linha do Norte
Nine;Braga;Famalicao;Nine;Linha do Minho
Pinhal Novo;Setubal;Palmela;Pinhal Novo;Linha do Sul
Pombal;Leiria;Pombal;Pombal;Linha do Norte
Tunes;Faro;Silves;Tunes;Linha do Sul
Vila Nova de Gaia-Devesas;Porto;Vila Nova de Gaia;Vila Nova de Gaia;Linha do Norte
Silva;Braga;Barcelos;Silva;Linha do Minho
Sao Pedro da Torre;Viana do Castelo;Valenca;Sao Pedro da Torre;Linha do Minho
Vila Nova da Rainha;Lisboa;Azambuja;Vila Nova da Rainha;Linha do Norte
Estarreja;Aveiro;Estarreja;Beduido e Veiros;Linha do Norte
Branca;Aveiro;Albergaria-a-Velha;Branca;Linha do Vouga
Valongo-Vouga;Aveiro;Agueda;Valongo do Vouga;Linha do Vouga
Mirao;Porto;Baiao;Santa Cruz do Douro e Sao Tome de Covelas;Linha do Douro
Oliveira;Porto;Amarante;Vila Mea;Linha do Douro
Famalicao;Braga;Vila Nova de Famalicao;Vila Nova de Famalicao e Calendario;Linha do Minho
Covas;Braga;Guimaraes;Urgezes;Linha de Guimaraes
Darque;Viana do Castelo;Viana do Castelo;Darque;Linha do Minho
Seica-Ourem;Santarem;Ourem;Seica;Linha do Norte
Alferrarede;Santarem;Abrantes;Abrantes (sao Vicente e Sao Joao) e Alferrarede;Linha da Beira Baixa
Fernando Po;Setubal;Palmela;Poceirao e Marateca;Linha do Alentejo
Aveiro - Vouga;Aveiro;Aveiro;Esgueira;Linha do Vouga
Sao Romao;Porto;Trofa;Coronado (sao Romao e Sao Mamede);Linha do Minho
Freixo de Numao;Guarda;Vila Nova de Foz Coa;Vila Nova de Foz Coa;Linha do Douro
Benquerencas;Castelo Branco;Castelo Branco;Benquerencas;Linha da Beira Baixa
Fungalvaz Resguardo;Santarem;Tomar;Madalena e Beselga;Linha do Norte
Alcainca-Moinhos;Lisboa;Mafra;Malveira e Sao Miguel de Alcainca;Linha do Oeste
Pereirinhas;Braga;Guimaraes;Moreira de Conegos;Linha de Guimaraes
Sao Frutuoso;Porto;Maia;Folgosa;Linha do Minho
Vila Franca de Xira;Lisboa;Vila Franca de Xira;Vila Franca de Xira;Linha do Norte
Couto de Cucujaes;Aveiro;Oliveira de Azemeis;Vila de Cucujaes;Linha do Vouga
Oliveira de Azemeis;Aveiro;Oliveira de Azemeis;Oliveira de Azemeis;Linha do Vouga
Carreco;Viana do Castelo;Viana do Castelo;Carreco;Linha do Minho
Afife;Viana do Castelo;Viana do Castelo;Afife;Linha do Minho
Simoes;Coimbra;Soure;Soure;Linha do Norte
Taipa - Requeixo;Aveiro;Aveiro;Requeixo Nossa Senhora de Fatima e Nariz;Linha do Vouga
Marco de Canaveses;Porto;Marco de Canaveses;Marco;Linha do Douro
Vila Nova de Ancos;Coimbra;Soure;Vila Nova de Ancos;Linha do Norte
Sanfins;Aveiro;Santa Maria da Feira;Santa Maria da Feira, Travanca, Sanfins e Espargo;Linha do Vouga
Sao Mamede de Infesta;Porto;Matosinhos;Sao Mamede de Infesta e Senhora da Hora;Linha de Leixoes
Ferreiros;Braga;Braga;Ferreiros e Gondizalves;Ramal de Braga
Contumil;Porto;Porto;Campanha;Linha do Minho
Meinedo;Porto;Lousada;Meinedo;Linha do Douro
Rio Tinto;Porto;Gondomar;Rio Tinto;Linha do Minho
Cete;Porto;Paredes;Cete;Linha do Douro
Vila Mea;Porto;Amarante;Vila Mea;Linha do Douro
Caxarias;Santarem;Ourem;Caxarias;Linha do Norte
Entroncamento;Santarem;Entroncamento;Nossa Senhora de Fatima;Linha do Norte
Senhora da Agonia;Viana do Castelo;Caminha;Caminha (matriz) e Vilarelho;Linha do Minho
Ermida;Porto;Baiao;Santa Marinha do Zezere;Linha do Douro
Mealhada Norte;Aveiro;Mealhada;Mealhada, Ventosa do Bairro e Antes;Linha do Norte
Avanca;Aveiro;Estarreja;Avanca;Linha do Norte
Santana Cartaxo Resguardo;Santarem;Cartaxo;Vila Cha de Ourique;Linha do Norte
Braga;Braga;Braga;Braga (maximinos, Se e Cividade);Ramal de Braga
Cuca;Braga;Guimaraes;Moreira de Conegos;Linha de Guimaraes
Travasso;Aveiro;Agueda;Travasso e Ois da Ribeira;Linha do Vouga
Salreu;Aveiro;Estarreja;Salreu;Linha do Norte
Sao Joao de Ver;Aveiro;Santa Maria da Feira;Sao Joao de Ver;Linha do Vouga
Pelariga;Leiria;Pombal;Pelariga;Linha do Norte
Meia Praia;Faro;Lagos;Sao Goncalo de Lagos;Linha do Algarve
Castanheira do Ribatejo;Lisboa;Vila Franca de Xira;Castanheira do Ribatejo e Cachoeiras;Linha do Norte
Granja;Porto;Vila Nova de Gaia;Sao Felix da Marinha;Linha do Norte
Ul;Aveiro;Oliveira de Azemeis;O. Azemeis, Riba-Ul, Ul, Macinhata da Seixa, Madail;Linha do Vouga
Monte de Paramos;Aveiro;Espinho;Paramos;Linha do Vouga
Bobadela;Lisboa;Loures;Santa Iria de Azoia, Sao Joao da Talha e Bobadela;Linha do Norte
Livracao;Porto;Marco de Canaveses;Constance;Linha do Douro
Alges;Lisboa;Oeiras;Alges, Linda-a-Velha e Cruz Quebrada-Dafundo;Linha de Cascais
Francelos;Porto;Vila Nova de Gaia;Gulpilhares e Valadares;Linha do Norte
Olhao;Faro;Olhao;Olhao;Linha do Algarve
Tavira;Faro;Tavira;Tavira (santa Maria e Santiago);Linha do Algarve
Oronhe;Aveiro;Agueda;Recardaes e Espinhel;Linha do Vouga
Pacos de Brandao;Aveiro;Santa Maria da Feira;Pacos de Brandao;Linha do Vouga
Pinheiro da Bemposta;Aveiro;Oliveira de Azemeis;Pinheiro da Bemposta, Travanca e Palmaz;Linha do Vouga
Setubal-Mar;Setubal;Setubal;Setubal (sao Sebastiao);Linha do Sul
Casal do Alvaro;Aveiro;Agueda;Recardaes e Espinhel;Linha do Vouga
Pereira;Coimbra;Montemor-o-Velho;Pereira;Linha do Norte
Albergaria-a-Velha;Aveiro;Albergaria-a-Velha;Albergaria-a-Velha e Valmaior;Linha do Vouga
Taveiro;Coimbra;Coimbra;Taveiro, Ameal e Arzila;Linha do Norte
Santiago de Riba-Ul;Aveiro;Oliveira de Azemeis;O. Azemeis, Riba-Ul, Ul, Macinhata da Seixa, Madail;Linha do Vouga
Espinho;Aveiro;Espinho;Espinho;Linha do Norte
Paraimo;Aveiro;Anadia;Sangalhos;Linha do Norte
Carapecos;Braga;Barcelos;Carapecos;Linha do Minho
Recezinhos;Porto;Penafiel;Casteloes;Linha do Douro
Esmeriz;Braga;Vila Nova de Famalicao;Esmeriz e Cabecudos;Linha do Minho
Trancoso;Porto;Paredes;Recarei;Linha do Douro
Aveleda;Braga;Braga;Celeiros, Aveleda e Vimieiro;Ramal de Braga
Vila Pouca do Campo;Coimbra;Coimbra;Taveiro, Ameal e Arzila;Linha do Norte
Curia;Aveiro;Anadia;Tamengos, Aguim e Ois do Bairro;Linha do Norte
Terronhas;Porto;Paredes;Recarei;Linha do Douro
Senhora das Neves;Viana do Castelo;Viana do Castelo;Vila de Punhe;Linha do Minho
Carregado Norte;Lisboa;Alenquer;Carregado e Cadafais;Linha do Norte
General Torres;Porto;Vila Nova de Gaia;Santa Marinha e Sao Pedro da Afurada;Linha do Norte
